 Name                                Version            License                                                                                          
 certifi                             2024.6.2           Mozilla Public License 2.0 (MPL 2.0)                                                             
 charset-normalizer                  3.3.2              MIT License                                                                                      
 click                               8.1.7              BSD License                                                                                      
 cliff                               4.7.0              Apache Software License                                                                          
 cloudpickle                         3.0.0              BSD License                                                                                      
 cmaes                               0.10.0             MIT License                                                                                      
 cmd2                                2.4.3              MIT License                                                                                      
 colorlog                            6.8.2              MIT License                                                                                      
 comm                                0.2.2              BSD License                                                                                      
 contourpy                           1.2.1              BSD License                                                                                      
 cycler                              0.12.1             BSD License                                                                                      
 cyto-dl                             0.1.7              UNKNOWN                                                                                          
 dask                                2023.5.0           BSD License                                                                                      
 debugpy                             1.8.2              MIT License                                                                                      
 decorator                           5.1.1              BSD License                                                                                      
 distributed                         2023.5.0           BSD License                                                                                      
 docker                              7.1.0              Apache Software License                                                                          
 docstring_parser                    0.16               MIT License                                                                                      
 docutils                            0.21.2             BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License 
 edt                                 2.4.1              GNU General Public License v3 (GPLv3)                                                            
 einops                              0.8.0              MIT License                                                                                      
 elementpath                         4.4.0              MIT License                                                                                      
 entrypoints                         0.4                MIT License                                                                                      
 exceptiongroup                      1.2.1              MIT License                                                                                      
 executing                           2.0.1              MIT License                                                                                      
 fasteners                           0.19               Apache Software License                                                                          
 filelock                            3.15.4             The Unlicense (Unlicense)                                                                        
 fire                                0.6.0              Apache Software License                                                                          
 flexcache                           0.3                BSD License                                                                                      
 flexparser                          0.3.1              BSD License                                                                                      
 fonttools                           4.53.0             MIT License                                                                                      
 freetype-py                         2.4.0              BSD License                                                                                      
 frozenlist                          1.4.1              Apache Software License                                                                          
 fsspec                              2024.6.1           BSD License                                                                                      
 gitdb                               4.0.11             BSD License                                                                                      
 graphene                            3.3                MIT                                                                                              
 graphql-core                        3.2.3              MIT License                                                                                      
 graphql-relay                       3.2.0              MIT License                                                                                      
 greenlet                            3.0.3              MIT License                                                                                      
 gunicorn                            22.0.0             MIT License                                                                                      
 h5py                                3.11.0             BSD License                                                                                      
 hsluv                               5.0.4              MIT License                                                                                      
 huggingface-hub                     0.23.4             Apache Software License                                                                          
 hydra-colorlog                      1.2.0              MIT License                                                                                      
 hydra-core                          1.3.2              MIT License                                                                                      
 hydra-optuna-sweeper                1.2.0              MIT License                                                                                      
 idna                                3.7                BSD License                                                                                      
 imagecodecs                         2024.6.1           BSD License                                                                                      
 imageio                             2.27.0             BSD License                                                                                      
 imageio-ffmpeg                      0.5.1              BSD License                                                                                      
 imagesize                           1.4.1              MIT License                                                                                      
 importlib_metadata                  7.1.0              Apache Software License                                                                          
 in-n-out                            0.2.1              BSD License                                                                                      
 ipykernel                           6.29.5             BSD License                                                                                      
 ipython                             8.26.0             BSD License                                                                                      
 itsdangerous                        2.2.0              BSD License                                                                                      
 jedi                                0.19.1             MIT License                                                                                      
 jmespath                            1.0.1              MIT License                                                                                      
 joblib                              1.4.2              BSD License                                                                                      
 jsonschema                          4.22.0             MIT License                                                                                      
 jsonschema-specifications           2023.12.1          MIT License                                                                                      
 jupyter_client                      8.6.2              BSD License                                                                                      
 jupyter_core                        5.7.2              BSD License                                                                                      
 kiwisolver                          1.4.5              BSD License                                                                                      
 lazy_loader                         0.4                BSD License                                                                                      
 lightning                           2.3.1              Apache Software License                                                                          
 lightning-utilities                 0.11.3.post0       Apache-2.0                                                                                       
 locket                              1.0.0              BSD License                                                                                      
 lxml                                4.9.4              BSD License                                                                                      
 magicgui                            0.8.3              MIT License                                                                                      
 markdown-it-py                      3.0.0              MIT License                                                                                      
 matplotlib                          3.9.0              Python Software Foundation License                                                               
 matplotlib-inline                   0.1.7              BSD License                                                                                      
 mdurl                               0.1.2              MIT License                                                                                      
 mlflow                              2.14.1             Apache Software License                                                                          
 monai-weekly                        1.4.dev2426        Apache License 2.0                                                                               
 mpmath                              1.3.0              BSD License                                                                                      
 msgpack                             1.0.8              Apache Software License                                                                          
 multidict                           6.0.5              Apache Software License                                                                          
 napari                              0.4.19.post1       BSD License                                                                                      
 napari-console                      0.0.9              BSD License                                                                                      
 napari-plugin-engine                0.2.0              MIT License                                                                                      
 napari-svg                          0.2.0              BSD License                                                                                      
 natsort                             8.4.0              MIT License                                                                                      
 nest-asyncio                        1.6.0              BSD License                                                                                      
 networkx                            3.3                BSD License                                                                                      
 npe2                                0.7.6              BSD License                                                                                      
 numcodecs                           0.12.1             MIT License                                                                                      
 numpy                               1.24.0             BSD License                                                                                      
 numpydoc                            1.7.0              BSD License                                                                                      
 ome-types                           0.5.1.post1        MIT License                                                                                      
 ome-zarr                            0.9.0              BSD License                                                                                      
 omegaconf                           2.3.0              BSD License                                                                                      
 opentelemetry-api                   1.25.0             Apache Software License                                                                          
 opentelemetry-sdk                   1.25.0             Apache Software License                                                                          
 opentelemetry-semantic-conventions  0.46b0             Apache Software License                                                                          
 optuna                              2.10.1             MIT License                                                                                      
 packaging                           24.1               Apache Software License; BSD License                                                             
 pandas                              2.2.2              BSD License                                                                                      
 parso                               0.8.4              MIT License                                                                                      
 partd                               1.4.2              BSD                                                                                              
 pbr                                 6.0.0              Apache Software License                                                                          
 pexpect                             4.9.0              ISC License (ISCL)                                                                               
 pillow                              10.4.0             Historical Permission Notice and Disclaimer (HPND)                                               
 platformdirs                        4.2.2              MIT License                                                                                      
 pooch                               1.8.2              BSD License                                                                                      
 prompt_toolkit                      3.0.47             BSD License                                                                                      
 protobuf                            4.25.3             3-Clause BSD License                                                                             
 psutil                              6.0.0              BSD License                                                                                      
 psygnal                             0.11.1             BSD License                                                                                      
 ptyprocess                          0.7.0              ISC License (ISCL)                                                                               
 pure-eval                           0.2.2              MIT License                                                                                      
 pyarrow                             15.0.2             Apache Software License                                                                          
 pyconify                            0.1.6              BSD License                                                                                      
 pydantic                            2.8.0              MIT License                                                                                      
 pydantic-compat                     0.1.2              BSD License                                                                                      
 pydantic_core                       2.20.0             MIT License                                                                                      
 pyerfa                              2.0.1.4            BSD License                                                                                      
 pyparsing                           3.1.2              MIT License                                                                                      
 pyperclip                           1.9.0              BSD License                                                                                      
 pyproject_hooks                     1.1.0              MIT License                                                                                      
 pyrootutils                         1.0.4              MIT                                                                                              
 python-dateutil                     2.9.0.post0        Apache Software License; BSD License                                                             
 python-dotenv                       1.0.1              BSD License                                                                                      
 pytorch-lightning                   2.3.1              Apache Software License                                                                          
 pytz                                2024.1             MIT License                                                                                      
 pyzmq                               26.0.3             BSD License                                                                                      
 qtconsole                           5.5.2              BSD License                                                                                      
 querystring-parser                  1.2.4              MIT License                                                                                      
 referencing                         0.35.1             MIT License                                                                                      
 requests                            2.32.3             Apache Software License                                                                          
 resource-backed-dask-array          0.1.0              BSD License                                                                                      
 rich                                13.7.1             MIT License                                                                                      
 rpds-py                             0.18.1             MIT License                                                                                      
 s3fs                                0.4.2              BSD License                                                                                      
 s3transfer                          0.10.2             Apache Software License                                                                          
 safetensors                         0.4.3              Apache Software License                                                                          
 scikit-image                        0.22.0             BSD License                                                                                      
 scikit-learn                        1.5.0              BSD License                                                                                      
 scipy                               1.14.0             BSD License                                                                                      
 semver                              3.0.2              BSD License                                                                                      
 shellingham                         1.5.4              ISC License (ISCL)                                                                               
 six                                 1.16.0             MIT License                                                                                      
 smmap                               5.0.1              BSD License                                                                                      
 snowballstemmer                     2.2.0              BSD License                                                                                      
 sortedcontainers                    2.4.0              Apache Software License                                                                          
 sphinxcontrib-applehelp             1.0.8              BSD License                                                                                      
 sphinxcontrib-devhelp               1.0.6              BSD License                                                                                      
 sphinxcontrib-htmlhelp              2.0.5              BSD License                                                                                      
 sphinxcontrib-jsmath                1.0.1              BSD License                                                                                      
 sphinxcontrib-qthelp                1.0.7              BSD License                                                                                      
 sphinxcontrib-serializinghtml       1.1.10             BSD License                                                                                      
 sqlparse                            0.5.0              BSD License                                                                                      
 stack-data                          0.6.3              MIT License                                                                                      
 stevedore                           5.2.0              Apache Software License                                                                          
 superqt                             0.6.7              BSD License                                                                                      
 sympy                               1.12.1             BSD License                                                                                      
 tabulate                            0.9.0              MIT License                                                                                      
 tblib                               3.0.0              BSD License                                                                                      
 termcolor                           2.4.0              MIT License                                                                                      
 threadpoolctl                       3.5.0              BSD License                                                                                      
 tifffile                            2024.6.18          BSD License                                                                                      
 timm                                1.0.7              Apache Software License                                                                          
 tomli                               2.0.1              MIT License                                                                                      
 tomli_w                             1.0.0              MIT License                                                                                      
 toolz                               0.12.1             BSD License                                                                                      
 torch                               2.0.1              BSD License                                                                                      
 torchmetrics                        1.4.0.post0        Apache Software License                                                                          
 torchvision                         0.15.2             BSD                                                                                              
 tornado                             6.4.1              Apache Software License                                                                          
 tqdm                                4.66.4             MIT License; Mozilla Public License 2.0 (MPL 2.0)                                                
 traitlets                           5.14.3             BSD License                                                                                      
 typer                               0.12.3             MIT License                                                                                      
 typing_extensions                   4.12.2             Python Software Foundation License                                                               
 tzdata                              2024.1             Apache Software License                                                                          
 universal_pathlib                   0.2.2              MIT                                                                                              
 urllib3                             2.2.2              MIT License                                                                                      
 vispy                               0.14.3             BSD License                                                                                      
 watchdog                            4.0.1              Apache Software License                                                                          
 wrapt                               1.16.0             BSD License                                                                                      
 xarray                              2023.1.0           Apache Software License                                                                          
 xmlschema                           3.3.1              MIT License                                                                                      
 xsdata                              24.3.1             MIT License                                                                                      
 yarl                                1.9.4              Apache Software License                                                                          
 zarr                                2.18.2             MIT License                                                                                      
 zict                                3.0.0              BSD License                                                                                      
 zipp                                3.19.2             MIT License                                                                                      
